PHYLUM;CLASS;ORDER;GENUS;BASE_S;BASE_STG;TOP_S;TOP_STG;RANGE_BASE;RANGE_TOP;EXT_BASE;EXT_TOP;MOBILITY;PREDATOR
Mollusca;Gastropoda;Neotaenioglossa;Rigauxia;J;Plie-u;J;Call;188;159;188;159;1;0
Mollusca;Gastropoda;Neotaenioglossa;Rimella;K;Maes;R;*;67;0;67;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Risella;T;Eo;R;;52;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Risellopsis;T;Mi-l-u;R;*;18;0;18;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Rissoa;T;Than;R;*;57;0;57;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Rissocerithium;J;Bajo;;;171;171;171;171;1;0
Mollusca;Gastropoda;Neotaenioglossa;Rissoina;J;u;R;*;155;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Rissolina;T;Mi;R;;22;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Rostellaria;K;u;R;;95;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Rostreulima;T;Than;T;Plio;57;4;57;4;1;0
Mollusca;Gastropoda;Neotaenioglossa;Rostrocerithium;K;Turo;K;Sn;92;68;92;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Rothpeltzia;T;Eo;T;Mi;52;11.2;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Rugatiscala;T;Eo-l;T;Mi-m;53;14.8;53;14.8;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sabinella;Q;Plei;R;;1;0;1;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sandbergeria;K;Maes;T;Mi;67;11.2;67;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sassia;K;Camp-u;R;*;77;0;77;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Scalaria;Tr;Ladi;Tr;Rhae;236;202;236;202;1;0
Mollusca;Gastropoda;Neotaenioglossa;Scalaronoba;T;Mi-l-l;R;*;22;0;22;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Scalenostoma;T;Mi;R;;22;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Scalina;T;Dani;R;*;63;0;63;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Scaliola;T;Than;R;*;57;0;57;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Scalituba;K;Nc;K;Albi;140;106;999;106;1;0
Mollusca;Gastropoda;Neotaenioglossa;Schilderia;T;Mi-l-l;R;;22;0;22;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Schizobasis;K;Camp-u;K;Maes;77;67;77;67;1;0
Mollusca;Gastropoda;Neotaenioglossa;Schwartziella;T;Mi;R;*;22;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sconsia;T;Eo-l;R;;53;0;53;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Scrobs;T;Ol-u;R;*;26;0;26;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Scrupus;T;Mi-l-u;R;*;18;0;18;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sculpturea;J;Oxfo-u;J;Tith;154;145;154;145;1;0
Mollusca;Gastropoda;Neotaenioglossa;Seila;K;Albi-u;R;*;106;0;106;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Semibittium;K;Maes;R;;67;0;67;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Semicassis;K;Maes;R;*;67;0;67;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Semicypraea;T;Eo-m;;;43;43;43;43;1;0
Mollusca;Gastropoda;Neotaenioglossa;Semistylifer;T;Eo-m-l;;;46;46;46;46;1;0
Mollusca;Gastropoda;Neotaenioglossa;Semiterebellum;T;Than;T;Eo-u;57;36;57;36;1;0
Mollusca;Gastropoda;Neotaenioglossa;Semitriton;T;Eo-u;T;Mi;36;11.2;36;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Semitrivia;T;Mi-l;T;Mi-m;20.5;14.8;20.5;14.8;1;0
Mollusca;Gastropoda;Neotaenioglossa;Semivertagus;K;Maes;R;;67;0;67;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sentularia;P;u;;;255;255;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Septa;T;Ol-l;R;;32;0;32;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Seraphs;T;Than;T;Ol-l?;57;32;57;32;1;0
Mollusca;Gastropoda;Neotaenioglossa;Serpulorbis;T;Dani;R;*;63;0;63;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Serratocerithium;T;Than;T;Eo-m;57;43;57;43;1;0
Mollusca;Gastropoda;Neotaenioglossa;Settsassia;Tr;Ladi-u;;;236;236;236;236;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sigapatella;K;u;R;;95;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sigaretopsis;K;u;T;Eo-u;95;36;999;36;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sigaretotrema;T;Dani;R;;63;0;63;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sigatica;T;Than;R;;57;0;57;0;1;1
Mollusca;Gastropoda;Neotaenioglossa;Sigmesalia;K;u;T;Mi;95;11.2;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Siliquaria;Tr;Ladi-u;R;*;236;0;236;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Simnia;T;Mi-m;R;;14.8;0;14.8;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sinorificium;K;l;;;138;138;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sinospira;P;Asse;;;290;290;290;290;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sinuozyga;P;Leon;P;Guad;277;263;999;263;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sinum;T;Than;R;*;57;0;57;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Siphocypraea;T;Mi-l;R;*;20.5;0;20.5;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Siphonophyla;Tr;Ladi;Tr;Carn;236;225;236;225;1;0
Mollusca;Gastropoda;Neotaenioglossa;Siphopatella;T;Plio;R;;5;0;5;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sirius;T;Eo-u;R;;36;0;36;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Socotora;T;Ol;R;;31;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sohlella;K;Ceno;K;Maes;97;67;97;67;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sohlitella;K;Camp-l;K;Maes;77;67;77;67;1;0
Mollusca;Gastropoda;Neotaenioglossa;Solariaxis;K;u;R;;95;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Solariorbis;T;Dani;R;*;63;0;63;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Solarium;K;Albi;T;Eo-m-l;106;43;106;43;1;0
Mollusca;Gastropoda;Neotaenioglossa;Soleniscus;D;Gedi;P;Djhu;415;257;415;257;1;0
Mollusca;Gastropoda;Neotaenioglossa;Spanionema;D;m;;;392;392;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Specula;T;Ol-u?;R;*;26;0;26;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Spelaenacca;T;Dani;T;Mi-l-u;63;17;63;17;1;0
Mollusca;Gastropoda;Neotaenioglossa;Sphaerocypraea;T;Eo-l;T;Mi-m;53;14.8;53;14.8;1;0
Mollusca;Gastropoda;Neotaenioglossa;Spinigera;J;Aale;J;Call-u;176;159;176;159;1;0
Mollusca;Gastropoda;Neotaenioglossa;Spiniscala;T;Mi;R;;22;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Spirochrysalis;Tr;Anis;Tr;Nori;243;210;243;210;1;0
Mollusca;Gastropoda;Neotaenioglossa;Spirocolpus;T;Eo-l;T;Mi-l-l;53;21;53;21;1;0
