"reference","reef.number","name","formation","system","series","interval","latitude","longitude","biota.main","country","collection.pbdb","remarks","authors","year","title","editors","paper","number","pages"
2343,3282,"Khania, Crete ","Roka ","Neogene ","Miocene ","Tortonian ",35.5833,23.6,"Corals ","Greece ","34860 ","Immature reef complexes with in situ corals and bioclastic matrix containing encrusting corallinaceans","Baron-Szabo, R.C. ",1995,"Taxonomy and palaeoecology of Late Miocene corals of NW-Crete (Gramvoússa, Roka- and Koukounaras-Fms.) ","  ","Berliner geowissenschaftliche Abhandlungen ","E16 ","569-577 "
2344,3284,"Oppenheim/Nierstein, Quarry, Mainz ","Middle Cerithium beds ","Paleogene ","Oligocene ","Chattian ",49.85,8.35,"Microbes ","Germany ","0 "," ","Schäfer, P. ",2003,"Exkursion 4: Sedimentationsgeschichte, Untergliederungsmöglichkeiten und Paläoökologie im 'Kalktertiär' des Mainzer Beckens ","  ","Terra Nostra ","5/2003 ","232-244 "
2345,3289,"Daiichi-Kashima Seamount, off Japan ","Upper Limestone ","Cretaceous ","Middle Cretaceous ","Albian-Cenomanian ",35.8333,142.6667,"Corals ","Japan ","","Organic buildup composed of a framework of hermatypic corals and caprotinid rudists. Also present are stromatoporoidal boundstones, rudstones, oolitic grainstones, and crystalline dolomite. Barrier bank","Shiba, M. ",1993,"Middle Cretaceous carbonate bank on the Daiichi-Kashima Seamount at the junction of the Japan and Izu-Bonin trenches ","Simo, J. A. T., Scott, R. W., Masse, J.-P. ","Cretaceous Carbonate Platforms, AAPG Memoir ","56 ","465-471 "
2346,2611,"St. Luis et Parahou, Corbieres ","  ","Cretaceous ","Upper Cretaceous ","latest Cenomanian ",42.85,2.3167,"Corals ","France ","","Latest Cenomanian coralline buildups, 12 m thick.","Bilotte, M. ",1993,"Late Cretaceous reefal platform development in the northeastern Pyrenees, France ","Simo, J. A. T., Scott, R. W., Masse, J.-P. ","Cretaceous Carbonate Platforms, AAPG Memoir ","56 ","353-362 "
2349,3290,"Aracaju High, Sergipe Basin ","Riachuelo ","Cretaceous ","Lower Cretaceous ","late Aptian-earliest Albian ",-10.8667,-37.0167,"Algae ","Brazil ","","Solenoporacean patch reefs in Maruim Member","Koutsoukos, E.A.M., Destro, N., Spadini, A.R. ",1993,"Upper Aptian-Lower Coniacian carbonate sequences in the Sergipe Basin, northeastern Brazil ","Simo, J. A. T., Scott, R. W., Masse, J.-P. ","Cretaceous Carbonate Platforms, AAPG Memoir ","56 ","127-144 "
2350,3291,"Tuape, Sonora ","Mural Limestone ","Cretaceous ","Lower Cretaceous ","late Aptian-early Albian ",30.175,-110.6,"Rudists ","Mexico ","35101 ","Thick-bedded to massive limestones with abundant corals and rudists","Baron-Szabo, R.C., González-León, C.M. ",2003,"Late Aptian-early Albian corals from the Mural Limestone of the Bisbee Group (Tuape and Cerro de Oro areas), Sonora, Mexico ","Scott, R.W. ","Cretaceous Stratigraphy and Paleoecology, Texas and Mexico: Perkins Memorial Volume, GCSSEPM Foundation, SP ","1 ","187-225 "
2351,3292,"Topalu, Dobrogea ","  ","Jurassic ","Upper Jurassic ","upper Oxfordian ",44.5667,28.0333,"Corals ","Romania ","35199 ","Two reefal levels (biostrome at base and bioherm at top)","Roniewicz, E. ",1976,"Les scléractiniaires du Jurassique supérieur de la Dobrogea centrale, Roumanie ","  ","Palaeontologia Polonica ","34 ","17-121 "
2351,3293,"Topalu 2, Dobrogea ","  ","Jurassic ","Upper Jurassic ","lower Kimmeridgian ",44.5667,28.0333,"Corals ","Romania ","35201 ","Two reefal levels (biostrome at base and bioherm at top) 67 coral species described from upper bioherm (Roniewicz 1976).","Roniewicz, E. ",1976,"Les scléractiniaires du Jurassique supérieur de la Dobrogea centrale, Roumanie ","  ","Palaeontologia Polonica ","34 ","17-121 "
2352,3294,"Cody, Indian Pass Triangle, Wyoming ","Gypsum Spring ","Jurassic ","Middle Jurassic ","Bajocian-Bathonian ",44.5333,-109.05,"Microbes ","United States ","","Thrombolite patch reefs in mixed carbonate-evaporitic sequence (restricted inner ramp setting). Part of abstract of ref. 2353: The observed buildups are approximately 3 meters across and 1 meter thick. Each buildup is composed of circular 'heads' of layered microbialite with an internal clotted texture (i.e. thrombolite). Individual heads are approximately 0.5 meters in diameter and 0.25 meters thick. Environmental interpretations of these microbial buildups suggest that they developed in shallow water (< 1 meter water depth). As many Jurassic thrombolite reefs discussed in the literature have been interpreted to have developed in deep-water settings, examination of these well-exposed Wyoming reefs provides important contributions to extend the distribution of thrombolite reefs into shallow-water environments.","Parcell, W.C., Kastern, L., Minks, K., Williams, M.K. ",2004,"Mapping Middle Jurassic Microbial Buildups, Cody, Wyoming: Implications for Stratigraphic Correlation of Middle Jurassic Units across the Bighorn Basin ","  ","AAPG Annual Meeting 2004, Abstracts ","  ","  "
2354,3295,"Uzunbulak, Tarim ","Piqiang ","Permian ","Lower Permian ","Sakmarian ",40.1667,78.1667,"Calcisponges ","China ","35513 ","Reef growth during the whole Sakmarian. 45 m thick reef core, lateral extension unknown (truncated by faults). Rich associated brachiopod faunas","Chen, Z.-Q., Shi, G.R. and Yang, W.-R. ",2003,"Internal Structure and Paleoecology of the Lower Permian Uzunbulak Reef Complex of the Tarim Basin, Northwest China ","  ","Facies ","49 ","119-134 "
2355,3296,"Lake Predil, Julian Alps ","Dolomia Principale ","Triassic ","Upper Triassic ","upper Tuvalian ",46.4167,13.5667,"Serpulids, worms, vermetids ","Italy ","","40 m thick massive dolomites at platform margin. Serpulids apparently prevailing. Rare coral boundstone, no sponges. Abundance of marine phreatic cements and microbialites.","Gianolla, P., De Zanche, V., Roghi, G ",2003,"An Upper Tuvalian (Triassic) Platform-Basin System in the Julian Alps: the Start-up of the Dolomia Principale (Southern Alps, Italy) ","  ","Facies ","49 ","135-150 "
2356,3297,"Jebel Rheris, Mader Basin ","  ","Devonian ","Middle Devonian ","Givetian ",31.2667,-4.7,"Stromatoporoids ","Morocco ","","Up to 11 coral-stromatoporoid biostromes in in 280 m thick crinoidal grainstone sequence. corals and stromatoporoids about equally abundant. Thickness of individual biostromes up to 4 m. Cummalitive thickness in section 1 about 40 m.","Fröhlich, S. ",2003,"Facies Pattern and Genesis of the Jebel Rheris Biostromes (Givetian, Eastern Anti-Atlas, Morocco) ","  ","Facies ","49 ","209-220 "
2358,3299,"Quebrada de la Toma, Chubut ","Lefipan ","Cretaceous ","Upper Cretaceous ","upper Maastrichtian ",-42.6194,-69.9986,"Non-rudist bivalves ","Argentina ","","Oyster bed, maximum 1 m thick","Kiessling, W. ",2003,"Field data, Patagonia campaign 2003 ","  ","Unpublished ","  ","  "
